firm,willing.A,willing.B,willing.C,willing.D,willing.T,again,price.A,price.B,price.C,price.D,price.T,dis.A,dis.B,dis.C,dis.D,dis.T,food.A,food.B,food.C,food.D,food.T,en.A,en.B,en.C,en.D,en.T,se.A,se.B,se.C,se.D,se.T,after.again,gender,age,income,H
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",5,5,5,5,NA,NA,5,5,5,5,NA,5,5,5,5,NA,5,5,5,5,NA,5,5,5,5,NA,5,5,5,5,NA,5,1,25,7999,0
雙醬咖哩,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,25,2999,0
"雙醬咖哩, 樂咖哩",5,NA,NA,5,NA,NA,4,NA,NA,4,NA,5,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,5,NA,4,NA,NA,5,NA,NA,0,25,999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,5,1,25,999,0
"雙醬咖哩, 咖哩郎",4,5,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,5,NA,NA,NA,3,4,NA,NA,NA,3,4,NA,NA,NA,4,1,25,5999,0
"雙醬咖哩, Cume咖哩",4,NA,NA,NA,5,5,4,NA,NA,NA,4,4,NA,NA,NA,5,3,NA,NA,NA,5,3,NA,NA,NA,5,4,NA,NA,NA,5,5,1,25,6999,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩, Cume咖哩",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,25,10001,1
"樂咖哩, Cume咖哩",4,3,3,4,5,4,4,3,3,4,5,4,3,3,4,5,4,3,3,4,4,4,3,3,4,5,4,3,3,4,5,4,0,25,999,0
"雙醬咖哩, Cume咖哩",4,NA,NA,NA,4,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,1,25,7999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,5,0,25,10001,0
