age,price.T
20-30歲,NA
20-30歲,5
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,4
20-30歲,4
20-30歲,5
20-30歲,4
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,3
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,4
40-50歲,NA
20-30歲,NA
20-30歲,3
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,3
20-30歲,NA
20歲以下,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,4
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,3
20-30歲,NA
20-30歲,3
20-30歲,NA
20-30歲,3
20-30歲,NA
20-30歲,NA
20-30歲,2
30-40歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20-30歲,NA
20歲以下,NA
20-30歲,NA
20-30歲,NA
